Index,Timestamp,X,Y,Direction,s/e
1,2021-03-29T15:46:16.759000,0,0,N,start
2,2021-03-29T15:46:45.260000,0,0,N,end
3,2021-03-29T15:46:57.891000,0,0,E,start
4,2021-03-29T15:47:26.001000,0,0,E,end
5,2021-03-29T15:47:30.996000,0,0,S,start
6,2021-03-29T15:47:59.066000,0,0,S,end
7,2021-03-29T15:48:03.024000,0,0,W,start
8,2021-03-29T15:48:30.871000,0,0,W,end
9,2021-03-29T15:48:40.257000,0,2,N,start
10,2021-03-29T15:49:08.272000,0,2,N,end
11,2021-03-29T15:49:12.736000,0,2,E,start
12,2021-03-29T15:49:40.986000,0,2,E,end
13,2021-03-29T15:49:49.251000,0,2,S,start
14,2021-03-29T15:50:17.701000,0,2,S,end
15,2021-03-29T15:50:22.680000,0,2,W,start
16,2021-03-29T15:50:50.549000,0,2,W,end
17,2021-03-29T15:51:01.597000,0,4,N,start
18,2021-03-29T15:51:29.355000,0,4,N,end
19,2021-03-29T15:51:36.761000,0,4,E,start
20,2021-03-29T15:52:04.272000,0,4,E,end
21,2021-03-29T15:52:08.247000,0,4,S,start
22,2021-03-29T15:52:35.791000,0,4,S,end
23,2021-03-29T15:52:42.160000,0,4,W,start
24,2021-03-29T15:53:09.922000,0,4,W,end
25,2021-03-29T15:53:53.698000,0,6,N,start
26,2021-03-29T15:54:21.423000,0,6,N,end
27,2021-03-29T15:54:27.702000,0,6,E,start
28,2021-03-29T15:54:55.573000,0,6,E,end
29,2021-03-29T15:55:03.566000,0,6,S,start
30,2021-03-29T15:55:31.803000,0,6,S,end
31,2021-03-29T15:55:39.396000,0,6,W,start
32,2021-03-29T15:56:07.300000,0,6,W,end
33,2021-03-29T16:11:05.906000,0,8,N,start
34,2021-03-29T16:11:33.806000,0,8,N,end
35,2021-03-29T16:11:37.353000,0,8,E,start
36,2021-03-29T16:12:05.688000,0,8,E,end
37,2021-03-29T16:12:09.206000,0,8,S,start
38,2021-03-29T16:12:36.932000,0,8,S,end
39,2021-03-29T16:12:40.276000,0,8,W,start
40,2021-03-29T16:13:08.629000,0,8,W,end
41,2021-03-29T16:13:16.183000,0,10,N,start
42,2021-03-29T16:13:43.743000,0,10,N,end
43,2021-03-29T16:13:47.153000,0,10,E,start
44,2021-03-29T16:14:14.549000,0,10,E,end
45,2021-03-29T16:14:17.898000,0,10,S,start
46,2021-03-29T16:14:45.909000,0,10,S,end
47,2021-03-29T16:14:49.186000,0,10,W,start
48,2021-03-29T16:15:17.022000,0,10,W,end
49,2021-03-29T16:15:23.449000,0,12,N,start
50,2021-03-29T16:15:51.211000,0,12,N,end
51,2021-03-29T16:15:55.080000,0,12,E,start
52,2021-03-29T16:16:22.424000,0,12,E,end
53,2021-03-29T16:16:27.182000,0,12,S,start
54,2021-03-29T16:16:55.287000,0,12,S,end
55,2021-03-29T16:17:00.330000,0,12,W,start
56,2021-03-29T16:17:28.074000,0,12,W,end
57,2021-03-29T16:17:36.961000,0,14,N,start
58,2021-03-29T16:18:04.781000,0,14,N,end
59,2021-03-29T16:18:09.156000,0,14,E,start
60,2021-03-29T16:18:36.786000,0,14,E,end
61,2021-03-29T16:18:41.436000,0,14,S,start
62,2021-03-29T16:19:09.238000,0,14,S,end
63,2021-03-29T16:19:14.423000,0,14,W,start
64,2021-03-29T16:19:42.310000,0,14,W,end
65,2021-03-29T16:19:50.237000,0,16,N,start
66,2021-03-29T16:20:21.466000,0,16,N,end
67,2021-03-29T16:20:26.542000,0,16,E,start
68,2021-03-29T16:20:54.343000,0,16,E,end
69,2021-03-29T16:20:57.320000,0,16,S,start
70,2021-03-29T16:21:24.889000,0,16,S,end
71,2021-03-29T16:21:28.390000,0,16,W,start
72,2021-03-29T16:21:56.543000,0,16,W,end
73,2021-03-29T16:25:11.381000,0,18,N,start
74,2021-03-29T16:25:39.267000,0,18,N,end
75,2021-03-29T16:25:42.234000,0,18,E,start
76,2021-03-29T16:26:09.719000,0,18,E,end
